epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.618,1.88861,5.72998,1.45158,7e-05,0.01786,4e-05,2e-05,1.61042,6.07635,1.48089,2e-05,2e-05,2e-05
2,245.671,1.69612,4.99994,1.34233,0.00037,0.08929,0.0002,6e-05,1.29824,5.38591,1.22714,5.934e-05,5.934e-05,5.934e-05
3,335.216,1.25056,4.57095,1.07818,0.00178,0.42857,0.00179,0.00114,0.94358,4.82802,0.95201,9.78e-05,9.78e-05,9.78e-05
4,422.071,1.078,4.26052,0.95527,0.00311,0.75,0.00499,0.00354,0.97057,4.65011,0.86277,0.00013538,0.00013538,0.00013538
5,506.365,0.9716,3.60026,0.8672,0.00348,0.83929,0.00602,0.00401,0.92261,4.5399,0.84685,0.00017208,0.00017208,0.00017208
6,589.17,0.86338,3.13425,0.83837,0.00356,0.85714,0.00596,0.00405,0.93619,4.35015,0.8363,0.0002079,0.0002079,0.0002079
7,670.509,0.8947,2.17521,0.84496,0.00356,0.85714,0.00583,0.00378,0.96466,4.14312,0.83819,0.00024284,0.00024284,0.00024284
8,752.813,0.97212,2.17274,0.86678,0.00356,0.85714,0.00566,0.00381,0.99307,4.21302,0.84471,0.0002769,0.0002769,0.0002769
9,832.392,0.93133,1.74521,0.84189,0.00356,0.85714,0.00549,0.00387,0.84148,4.2893,0.84124,0.00031008,0.00031008,0.00031008
10,917.394,0.84187,1.87723,0.83936,0.00348,0.83929,0.0049,0.00323,0.85712,4.3103,0.85826,0.00034238,0.00034238,0.00034238
11,1000.05,0.93274,1.8336,0.83728,0.00333,0.80357,0.00464,0.00303,0.96496,4.3698,0.87726,0.0003738,0.0003738,0.0003738
12,1080.57,0.93581,1.64605,0.87975,0.00363,0.875,0.04026,0.03687,0.70736,4.12226,0.82442,0.00040434,0.00040434,0.00040434
13,1158.06,0.86514,1.64464,0.83184,0.00356,0.85714,0.00507,0.00342,0.72991,4.05639,0.81652,0.000434,0.000434,0.000434
14,1239.01,0.9375,1.47955,0.85715,0.00356,0.85714,0.00474,0.00326,0.77296,4.14011,0.82935,0.00046278,0.00046278,0.00046278
15,1315.71,0.94085,1.41755,0.86839,0.00356,0.85714,0.00453,0.00311,0.78096,4.09678,0.83947,0.00049068,0.00049068,0.00049068
16,1392.34,0.86604,1.41266,0.85786,0.00348,0.83929,0.02912,0.02552,0.74337,4.03775,0.82991,0.0005177,0.0005177,0.0005177
17,1473.34,0.8589,1.67433,0.87335,0.00348,0.83929,0.05897,0.053,0.82339,4.05502,0.83613,0.00054384,0.00054384,0.00054384
